key;context;value;
Laricque;query;place|GLOB2_1001|Larike;
Larieke;query;place|GLOB2_1001|Larike;
Larieque;query;place|GLOB2_1001|Larike;
Larike;query;place|GLOB2_1001|Larike;
Larique;query;place|GLOB2_1001|Larike;
Larricque;query;place|GLOB2_1001|Larike;
Laryecque;query;place|GLOB2_1001|Larike;
Carnatica;query;place|GLOB2_1003|Vijayanagara;
Vijayanagara;query;place|GLOB2_1003|Vijayanagara;
Maba;query;place|GLOB2_1007|Maba;
Hela;query;place|GLOB2_1009|Hila;
Hijla;query;place|GLOB2_1009|Hila;
Hila;query;place|GLOB2_1009|Hila;
Hilla;query;place|GLOB2_1009|Hila;
Hela;query;place|GLOB2_1009_HUM_1|Hila;
Hijla;query;place|GLOB2_1009_HUM_1|Hila;
Hila;query;place|GLOB2_1009_HUM_1|Hila;
Hilla;query;place|GLOB2_1009_HUM_1|Hila;
Hela;query;place|GLOB2_1009_HUM_2|Hila;
Hijla;query;place|GLOB2_1009_HUM_2|Hila;
Hila;query;place|GLOB2_1009_HUM_2|Hila;
Hilla;query;place|GLOB2_1009_HUM_2|Hila;
Fort Amsterdam (Ambon);query;place|GLOB2_1009_HUM_3|Fort Amsterdam (Ambon);
Kasteel van Verre;query;place|GLOB2_1009_HUM_3|Fort Amsterdam (Ambon);
fort Amsterdam;query;place|GLOB2_1009_HUM_3|Fort Amsterdam (Ambon);
fort Hila;query;place|GLOB2_1009_HUM_3|Fort Amsterdam (Ambon);
Calechut;query;place|GLOB2_1010|Kozhikode;
Calecuth;query;place|GLOB2_1010|Kozhikode;
Caliacatta;query;place|GLOB2_1010|Kozhikode;
Calicata;query;place|GLOB2_1010|Kozhikode;
Calicatto;query;place|GLOB2_1010|Kozhikode;
Calicut;query;place|GLOB2_1010|Kozhikode;
Calij Catta;query;place|GLOB2_1010|Kozhikode;
Kozhikode;query;place|GLOB2_1010|Kozhikode;
Tallo;query;place|GLOB2_1018|Tallo;
Talloq;query;place|GLOB2_1018|Tallo;
Tello;query;place|GLOB2_1018|Tallo;
Gujarāt;query;place|GLOB2_1019|Gujarāt;
Guzeratte;query;place|GLOB2_1019|Gujarāt;
Beijing;query;place|GLOB2_1020|Beijing;
Packijn;query;place|GLOB2_1020|Beijing;
Packin;query;place|GLOB2_1020|Beijing;
Packjan;query;place|GLOB2_1020|Beijing;
Paquin;query;place|GLOB2_1020|Beijing;
Peking;query;place|GLOB2_1020|Beijing;
北京;query;place|GLOB2_1020|Beijing;
Sangihe;query;place|GLOB2_1021|Sangihe Besar Island;
Sangihe Besar Island;query;place|GLOB2_1021|Sangihe Besar Island;
Sangij;query;place|GLOB2_1021|Sangihe Besar Island;
Towadjo;query;place|GLOB2_1022|Wajo;
Wadjo;query;place|GLOB2_1022|Wajo;
Wajo;query;place|GLOB2_1022|Wajo;
Dompo;query;place|GLOB2_1023|Dompu;
Dompu;query;place|GLOB2_1023|Dompu;
Sweden;query;place|GLOB2_1026|Sweden;
Zweden;query;place|GLOB2_1026|Sweden;
Tartaria;query;place|GLOB2_1027|Tartary;
Tartarije;query;place|GLOB2_1027|Tartary;
Tartary;query;place|GLOB2_1027|Tartary;
Tartarye;query;place|GLOB2_1027|Tartary;
Pauh;query;place|GLOB2_1028|Pauh;
Pauw;query;place|GLOB2_1028|Pauh;
Kisar;query;place|GLOB2_1029|Pulau Kisar;
Kisser;query;place|GLOB2_1029|Pulau Kisar;
Maccisser;query;place|GLOB2_1029|Pulau Kisar;
Makisser;query;place|GLOB2_1029|Pulau Kisar;
Pulau Kisar;query;place|GLOB2_1029|Pulau Kisar;
Baliapal;query;place|GLOB2_1031|Baliapal;
Ballipaal;query;place|GLOB2_1031|Baliapal;
Piepelij;query;place|GLOB2_1031|Baliapal;
Pipeli;query;place|GLOB2_1031|Baliapal;
Pipelij;query;place|GLOB2_1031|Baliapal;
Pipely;query;place|GLOB2_1031|Baliapal;
Pipilipatan;query;place|GLOB2_1031|Baliapal;
Gooram;query;place|GLOB2_1033|Gorom Island;
Goram;query;place|GLOB2_1033|Gorom Island;
Gorom Island;query;place|GLOB2_1033|Gorom Island;
Pulau Gorom;query;place|GLOB2_1033|Gorom Island;
Pulau Gorong;query;place|GLOB2_1033|Gorom Island;
Nias;query;place|GLOB2_1034|Pulau Nias;
Pulau Nias;query;place|GLOB2_1034|Pulau Nias;
Buol;query;place|GLOB2_1035|Buol;
Bwool;query;place|GLOB2_1035|Buol;
Bwooll;query;place|GLOB2_1035|Buol;
Celebar;query;place|GLOB2_1036|Silebar;
Cillebaer;query;place|GLOB2_1036|Silebar;
Silebar;query;place|GLOB2_1036|Silebar;
Zillebaar;query;place|GLOB2_1036|Silebar;
Tambora;query;place|GLOB2_1038|Tambora;
Tombora;query;place|GLOB2_1038|Tambora;
Gunung Tambora;query;place|GLOB2_1038_GEO_1|Gunung Tambora;
Tambora;query;place|GLOB2_1038_GEO_1|Gunung Tambora;
Tombora;query;place|GLOB2_1038_GEO_1|Gunung Tambora;
Tambora;query;place|GLOB2_1038_HUM_1|Tambora Kingdom;
Tambora Kingdom;query;place|GLOB2_1038_HUM_1|Tambora Kingdom;
Tombora;query;place|GLOB2_1038_HUM_1|Tambora Kingdom;
Tangarang;query;place|GLOB2_1041|Tangerang;
Tangeran;query;place|GLOB2_1041|Tangerang;
Tangerang;query;place|GLOB2_1041|Tangerang;
Tangerangh;query;place|GLOB2_1041|Tangerang;
fort Tangerang;query;place|GLOB2_1041|Tangerang;
Tangarang;query;place|GLOB2_1041_HUM_1|Tangerang;
Tangeran;query;place|GLOB2_1041_HUM_1|Tangerang;
Tangerang;query;place|GLOB2_1041_HUM_1|Tangerang;
Tangerangh;query;place|GLOB2_1041_HUM_1|Tangerang;
Fort Tangerang;query;place|GLOB2_1041_HUM_2|Fort Tangerang;
Tangarang;query;place|GLOB2_1041_HUM_2|Fort Tangerang;
Tangeran;query;place|GLOB2_1041_HUM_2|Fort Tangerang;
Tangerang;query;place|GLOB2_1041_HUM_2|Fort Tangerang;
Tangerangh;query;place|GLOB2_1041_HUM_2|Fort Tangerang;
Balambangan;query;place|GLOB2_1045|Blambangan;
Balamboangan;query;place|GLOB2_1045|Blambangan;
Balemboangang;query;place|GLOB2_1045|Blambangan;
Baliboangh;query;place|GLOB2_1045|Blambangan;
Blambangan;query;place|GLOB2_1045|Blambangan;
Guinea Coast;query;place|GLOB2_1047|Guinea Coast;
Guinea, Kust van;query;place|GLOB2_1047|Guinea Coast;
